Subj,Item,Trnsp,scrb,rt
1,1,A,697.5769999434325,576.3260488507713
1,2,A,623.8856394445986,552.6189934613667
1,3,A,612.6141915027317,697.9777023746133
1,4,A,651.9633962262919,462.116470555451
1,5,A,643.7608900921398,792.219663859055
1,6,A,686.0627864637536,700.548697994777
1,7,A,663.9739381960255,610.5614559195494
1,8,A,568.3856616335437,503.6617206378336
1,9,A,666.7634907372893,579.4639267792602
1,10,A,621.8876707747505,634.6741271502408
1,11,A,650.7269868230702,767.4386216379254
1,12,A,705.5519884928117,569.7454427565717
1,13,A,764.2744016563647,555.8802187165676
1,14,A,660.873522187591,569.0279296654244
1,15,A,645.4793220468016,528.8680577738968
1,16,A,636.438875188524,616.0920448641509
1,17,A,665.851900244716,612.4460415742657
1,18,A,665.174885408971,741.6708680466156
1,19,A,788.3435939077242,704.4154194364901
1,20,A,610.5670024693943,572.7512438240741
1,21,A,630.5195499357285,528.2840321615969
1,22,A,729.8837450200092,707.3426511383065
1,23,A,581.4351613409074,737.3052463421195
1,24,A,639.2786718328666,536.4994166183725
1,25,A,587.230596714789,734.3652624746726
1,26,A,672.867443025206,710.9475174501905
1,27,A,609.1228667178926,613.002764714118
1,28,A,641.8453971732405,649.9644798372142
1,29,A,717.6878987745094,586.9446790133528
1,30,A,576.3085654094123,657.3520314135736
1,31,A,732.7639657341346,709.0852580512283
1,32,A,545.9793905808032,599.4592428679473
1,33,A,748.2531994726363,445.8935377525813
1,34,A,632.8575957521423,602.6413585465253
1,35,A,653.1711321573515,616.0053650726807
1,36,A,746.4334599118947,805.0718680772816
1,37,A,709.2178531085387,669.6216204985852
1,38,A,599.0090061262197,539.932834537371
1,39,A,667.9369306274609,532.7428353126527
1,40,A,779.0706331226194,599.3991909163786
1,41,A,623.4131820591288,613.4850050330009
1,42,A,711.690177623747,765.6700599557668
1,43,A,579.4133171480892,557.5498122936599
1,44,A,659.3713789359676,695.483201233351
1,45,A,704.3523072137456,619.4199277691341
1,46,A,616.3799498555575,490.26017140791953
1,47,A,714.1033141475659,486.3859991931937
1,48,A,689.3598707578578,659.8324014732336
1,49,A,659.5302570291584,765.7774345319499
1,50,A,618.9502059218383,672.2759674565693
1,51,A,665.9241241685227,705.7436953715892
1,52,A,633.0406360580857,471.30874844580364
1,53,A,464.1735549740602,575.0457187497217
1,54,A,620.3033553218905,417.87611513295144
1,55,A,698.3962021469114,744.848587984895
1,56,A,708.4145057878497,622.6505354921653
1,57,A,654.1055021319233,558.3618129031213
1,58,A,657.0001788635705,615.5805381121224
